

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master,1982,1762,1,1761,8,2,0,210,13492.7,18026.2
cvc4_bags,1982,1559,0,1559,188,24,1,210,46842.8,114697.8



DIRECTORY,cvc4_master,cvc4_bags
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_check_heap_access_23_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_check_heap_access_36_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_invariant_18_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_invariant_31_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_loop_check_heap_access_21_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_loop_check_heap_access_34_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_loop_invariant_22_5.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_loop_invariant_35_5.smt2,ok,20,0,0.29,20.8,ok,20,0,0.39,21.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_postcondition_of_concat_14_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_postcondition_of_concat_24_4.smt2,ok,20,0,0.2,20.9,ok,20,0,0.19,21.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_postcondition_of_concat_25_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_postcondition_of_concat_27_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_postcondition_of_concat_37_4.smt2,ok,20,0,0.69,23.7,ok,20,0,0.39,25.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/concat_postcondition_of_concat_38_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_invariant_40_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_loop_check_heap_access_51_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_loop_check_heap_access_52_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_loop_check_heap_access_54_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_loop_invariant_55_3.smt2,ok,20,0,4.79,32.2,ok,20,0,4.59,34.4
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_postcondition_of_contains_56_40.smt2,ok,20,0,0.19,20.9,ok,20,0,0.09,20.8
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_postcondition_of_contains_57_7.smt2,ok,20,0,0.49,24.0,ok,20,0,0.49,24.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/contains_postcondition_of_contains_58_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_check_heap_access_33_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_check_heap_access_33_4_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_check_heap_access_34_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_invariant_16_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_invariant_35_4.smt2,ok,20,0,0.2,21.3,ok,20,0,0.29,21.9
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_check_heap_access_22_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_check_heap_access_23_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_check_heap_access_46_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_check_heap_access_47_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_check_heap_access_48_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_check_heap_access_48_6_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_check_heap_access_49_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_invariant_24_3.smt2,ok,20,0,0.59,23.8,ok,20,0,0.4,23.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_loop_invariant_50_5.smt2,ok,20,0,25.59,59.7,ok,20,0,25.89,58.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_25_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_26_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_27_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
