

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master4,1474,1469,15,1454,4,1,0,0,11988.9,15731.7
cvc4_bags4,1474,1260,10,1250,185,28,1,0,53597.8,122084.5



DIRECTORY,cvc4_master4,cvc4_bags4
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_check_heap_access_23_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.49,39.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_check_heap_access_36_4.smt2,ok,20,0,0.06,2.5,ok,20,0,0.49,40.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_invariant_18_4.smt2,ok,20,0,0.0,0.0,ok,30,0,0.19,29.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_invariant_31_4.smt2,ok,20,0,0.04,17.1,ok,20,0,0.39,30.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_loop_check_heap_access_21_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_loop_check_heap_access_34_6.smt2,ok,20,0,0.01,16.4,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_loop_invariant_22_5.smt2,ok,20,0,0.0,0.0,ok,20,0,0.29,33.1
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_loop_invariant_35_5.smt2,ok,20,0,0.51,21.2,ok,20,0,0.39,33.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_postcondition_of_concat_14_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_postcondition_of_concat_24_4.smt2,ok,20,0,0.08,18.6,ok,20,0,1.82,70.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_postcondition_of_concat_25_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_postcondition_of_concat_27_4.smt2,ok,20,0,0.0,0.0,ok,30,0,0.19,24.9
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_postcondition_of_concat_37_4.smt2,ok,20,0,0.59,27.5,ok,20,0,1.99,73.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/concat_postcondition_of_concat_38_3.smt2,ok,20,0,0.0,9.1,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/contains_invariant_40_2.smt2,ok,20,0,0.01,12.3,ok,20,0,0.02,15.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/contains_loop_check_heap_access_51_4.smt2,ok,20,0,0.01,12.4,ok,20,0,0.69,29.8
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/contains_loop_check_heap_access_52_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.39,28.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/contains_loop_check_heap_access_54_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.39,28.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/contains_loop_invariant_55_3.smt2,ok,20,0,7.69,39.6,ok,20,0,169.88,187.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/contains_postcondition_of_contains_56_40.smt2,ok,20,0,0.18,21.1,ok,20,0,1.59,91.1
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/contains_postcondition_of_contains_57_7.smt2,ok,20,0,0.38,22.9,ok,20,0,0.12,22.1
